Username,Content,Created at
M4dchild,gua jadi benci ptm,2022-08-03 23:39:52+00:01
M4dchild,pjj rasanya bodoh tapi ptm rasanya cape,2022-08-03 23:39:52+00:02
ayreiseo,kenapa harus ptm sih,2022-08-03 23:39:52+00:03
fckmemoboyy,ptm terus YA ALLAH,2022-08-03 23:39:52+00:04
kissbumblee,YA ALLAH SAYA TIDAK MAU PERTEMUAN TATAP MUKA SAYA CAPE,2022-08-03 23:39:52+00:05
CNNIndonesia,full ptm agar pintar wkwk,2022-08-03 23:39:52+00:06
beomgyurinn,penularan covid di sekolah udah mengarah ke parah,2022-08-03 23:39:52+00:07
nmmsamoelcafe,woi cape bgt lah bsk ptm pulang jam sore,2022-08-03 23:39:52+00:08
lovingJayP4rk,penularan omicron merebak di indonesia,2022-08-03 23:39:52+00:09
biuluvboy,ayo tidur besok ptm,2022-08-03 23:39:52+00:10
