Username,Content,Location,Created at
LucianoGarciaA7,gua jadi benci bgt ptm dah,,2022-08-03 23:39:52+00:00
M4dchild,pjj rasanya bodoh tapi ptm rasanya cape,them 14,2022-08-03 23:38:21+00:00
ayreiseo,kenapa harus ptm sih,bekasi/padang,2022-08-03 23:21:13+00:00
fckmemoboyy,ptm terus YA ALLAH,inbedwithurmom,2022-08-03 23:20:35+00:00
kissbumblee,YA ALLAH SAYA TIDAK MAU PERTEMUAN TATAP MUKA SAYA CAPE,"Lima, Peru",2022-08-03 22:49:18+00:00
CNNIndonesia,full ptm agar pintar wkwk,,2022-08-03 22:36:47+00:00
beomgyurinn,penularan covid di sekolah udah mengarah ke parah,ivan ! he-him ! 18 ,2022-08-03 21:57:12+00:00
nmmsamoelcafe,woi cape bgt lah bsk ptm pulang jam sore,aora noes el momento ,2022-08-03 21:53:29+00:00
lovingJayP4rk,penularan omicron merebak di indonesia,Jay's heart,2022-08-03 21:37:17+00:00
biuluvboy,ayo tidur besok ptm,,2022-08-03 21:37:17+00:01
Hamoudaraeesani,,sakhakot malakand,2022-08-03 20:45:29+00:00
francetic4_yael,,"Córdoba, Argentina",2022-08-03 20:38:36+00:00
hfxloustdy,,medstud²³,2022-08-03 20:30:00+00:00
cristianvgga,,,2022-08-03 20:24:10+00:00
Imrankasuri11,,"Riyadh, Kingdom of Saudi Arabi",2022-08-03 20:13:02+00:00
ivan_quiroz23,,,2022-08-03 20:12:43+00:00
brandondamid,,Andromeda,2022-08-03 19:53:15+00:00
imusaibkhan,,Indian occupied Kashmir ,2022-08-03 19:24:06+00:00
Shamskakar27,,,2022-08-03 19:23:45+00:00
Saimasa63489202,,,2022-08-03 19:07:46+00:00
Granados114,,,2022-08-03 19:00:59+00:00
anaftbananas,,she/her ! rcbyf,2022-08-03 18:53:31+00:00
Tatian_2826,,,2022-08-03 18:46:48+00:00
tsugiana,,Indonesia,2022-08-03 18:21:18+00:00
H00NS0L28,,21 | she/her,2022-08-03 18:12:42+00:00
EvelynL27,,"Lima, Peru ",2022-08-03 18:10:53+00:00
camgoodvibescyp,,,2022-08-03 17:22:59+00:00
anakmsebeth,,,2022-08-03 17:03:40+00:00
Sashacantuu1,,she/her,2022-08-03 16:50:09+00:00
caramuelll,,Indonesia,2022-08-03 16:44:30+00:00
