Username,Content,Location,Created at
LucianoGarciaA7,gua jadi benci bgt ptm dah,,2022-08-03 23:39:52+00:00
M4dchild,pjj rasanya bodoh tapi ptm rasanya cape,them 14,2022-08-03 23:38:21+00:00
ayreiseo,kenapa harus ptm sih,bekasi/padang,2022-08-03 23:21:13+00:00
fckmemoboyy,ptm terus YA ALLAH,inbedwithurmom,2022-08-03 23:20:35+00:00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
