Username,Content,Created at
hintguy,"kelas yg muridnya kena covid pjj, sedangkan kelas yg muridnya belum ada yg kenak covid masih tetep ptm... kenapa gk di sama ratain aja si??",2022-08-01 23:57:57+00:00
hereissun,belum tau covid atau bukan tapi lgsg disuruh pjj,2022-08-01 23:57:57+00:01
jagapatidotcom,mulai ngerasa ptm 50% adalah takut,2022-08-01 23:30:00+00:00
jagapatidotcom,saat ini ptm dibatasi jadi 50% sampai seluruh siswa sembuh,2022-08-01 23:22:23+00:00
Ranjhaaa87,"sekolah, kembali lagi ke ptm",2022-08-01 23:22:23+00:01
tassyaapr,"gak setuju ptm, angka covid naik",2022-08-01 23:22:23+00:02
Chrs49937622,"angka covid naik, gak setuju ptm",2022-08-01 23:22:23+00:03
setengahlandak,ptm 100% nangis aja gua,2022-08-01 23:22:23+00:04
angelcidios,takut ptm,2022-08-01 23:22:23+00:05
kangandribdg,"covid naik, malah ptm",2022-08-01 23:22:23+00:06
kenjiro,gua udah ptm 100% lagi padahal daerah sekolahan banyak yg kontak erat sama yg kena omicron,2022-08-01 23:22:23+00:07
amelia_syiha,"omicron naik, yang salah siapa? sekolah, kembali lagi ke ptm",2022-08-01 23:22:23+00:08
naurrrr_,di sekolahku ptm dihentikan,2022-08-01 23:22:23+00:09
heinnana,halo semua dari saya yg malas ptm,2022-08-01 23:22:23+00:10
carnobaraa,pjj bikin malas rasanya pengen rebahan terus,2022-08-01 23:22:23+00:11
devervile,ptm enak kaya lebih produktif gitu dehh,2022-08-01 23:22:23+00:12
oreomild,moga aj bisa cepet ptm lagi,2022-08-01 23:22:23+00:13
_kithzia,pgen cepet2 ptm,2022-08-01 23:22:23+00:14
engrwasimkhan,bosen bgt ptm ga ada gurunya,2022-08-01 23:22:23+00:15
erickavilvaz,"dinas pendidikan mengeluarkan surat edaran pemberhentian pembelajaran tatap muka (ptm) di sekolah dari tingkat paud, sd, dan smp hingga 22 februari 2022",2022-08-01 23:22:23+00:16
airinsjourney_,bisa bisanya besok ptm pdhl ada yg kena covid,2022-08-01 23:22:23+00:17
KetjehIlham,ptm di sekolahku dihentikan,2022-08-01 23:22:23+00:18
intip_solo,covid lg melonjak bgt malah pd ptm,2022-08-01 23:22:23+00:19
duniaeni,kok ga berhenti dulu ptm nya,2022-08-01 23:22:23+00:20
Chio7845,"ga enak pjj, pengen ptm",2022-08-01 23:22:23+00:21
detikcom,"siswa positif covid-19, ptm berhenti",2022-08-01 23:22:23+00:22
rhan_daily,banyak siswa ketakutan ptm,2022-08-01 23:22:23+00:23
ney_tirryy,alhamdulillah besok ptm,2022-08-01 23:22:23+00:24
detikcom,pemberhentian pembelajaran tatap muka ptm tengah terjadi,2022-08-01 23:22:23+00:25
detikcom,pemberhentian pembelajaran tatap muka ptm tengah terjadi,2022-08-01 23:22:23+00:26
detikcom,pemberhentian pembelajaran tatap muka ptm tengah terjadi,2022-08-01 23:22:23+00:27
jawapos,pemberhentian pembelajaran tatap muka ptm tengah terjadi,2022-08-01 23:22:23+00:28
jawapos,pemberhentian pembelajaran tatap muka ptm tengah terjadi,2022-08-01 23:22:23+00:29
do0kja,"@schfess hmmm gmn ya bingung gw tapi lebih suka ke ptm cuma ptm tugas kelompok ga ngotak anj- aksgayqbwf, tiap hari ada aja   kalo pjj tuh susahnya ga ada temen+susah ngerti materi",2022-08-01 23:22:23+00:30
haneverain,males ptm banyak tugas,2022-08-01 23:22:23+00:31
chocodrw_lisa,"ptm, soalnya pjj malah ngebabu",2022-08-01 23:22:23+00:32
adhie_smrdjie,pengalaman sekali pembelajaran tatap muka tapi kok ngeri takut yah guys,2022-08-01 23:22:23+00:33
kakapampam,ptm tuh ngeri wkwkwk,
resa_agra,ngeri ptm soalnya covid melonjak,
TirtoID,takut ptm soalnya covid naik,
ecstasybrumby,omicron naik,
syahirah_mohd,omicron covid19 naik malah ptm,
FitRadioBandung,pjj bikin malas rasanya pengen rebahan terus,
yoojinkin,malas ptm,
Gabrieltenedor,kenapa harus ptm,
DanteArcangel2,kenapa harus pjj,
LIXMYBFF,"saya duga, yg tdk vaksin takut ptm",
Qurrr03,adek w tetep ptm padahal muridnya ada yg covid,
baobeito,SEKOLAH ADEK W DITUTUP ANJING COVID,
AngeldelAngel03,bagus ptm gue jadi jarang nangis/ovt/begadang,
rmsfavgirl,pjj bikin malas,
aboyheri,sekolah ptm takut jadinya,
Im_Zuru_Dola,"covid melonjak, sekolahku tetep maksa ptm",
evcrlove,sejumlah pelajar terpapar covid-19 meningkat,
Sing_JembarHate,orang tua tidak percaya ptm meski ada vaksin,
muhamadsangidu2,ptm jalan terus wkwkw,
liewandie,"puluhan siswa sekolah saya omicron, saya takut pak",
BandungTV38,evaluasi pelaksanaan covid mulai ditutup,
asetianegara,varian omicron mengharuskan kita untuk pjj,
