Username,Content,Created at
hintguy,"kelas yg muridnya kena covid pjj, sedangkan kelas yg muridnya belum ada yg kenak covid masih tetep ptm... kenapa gk di sama ratain aja si??",2022-08-01 23:57:57+00:00
hereissun,belum tau covid atau bukan tapi lgsg disuruh pjj,2022-08-01 23:57:57+00:01
jagapatidotcom,mulai ngerasa ptm 50% adalah takut,2022-08-01 23:30:00+00:00
jagapatidotcom,saat ini ptm dibatasi jadi 50% sampai seluruh siswa sembuh,2022-08-01 23:22:23+00:00
Ranjhaaa87,"sekolah, kembali lagi ke ptm",2022-08-01 23:22:23+00:01
tassyaapr,"gak setuju ptm, angka covid naik",2022-08-01 23:22:23+00:02
Chrs49937622,"angka covid naik, gak setuju ptm",2022-08-01 23:22:23+00:03
setengahlandak,ptm 100% nangis aja gua,2022-08-01 23:22:23+00:04
angelcidios,takut ptm,2022-08-01 23:22:23+00:05
kangandribdg,"covid naik, malah ptm",2022-08-01 23:22:23+00:06
kenjiro,gua udah ptm 100% lagi padahal daerah sekolahan banyak yg kontak erat sama yg kena omicron,2022-08-01 23:22:23+00:07
amelia_syiha,"omicron naik, yang salah siapa? sekolah, kembali lagi ke ptm",2022-08-01 23:22:23+00:08
naurrrr_,di sekolahku ptm dihentikan,2022-08-01 23:22:23+00:09
heinnana,halo semua dari saya yg malas ptm,
carnobaraa,pjj bikin malas rasanya pengen rebahan terus,
devervile,ptm enak kaya lebih produktif gitu dehh,
oreomild,moga aj bisa cepet ptm lagi,
_kithzia,pgen cepet2 ptm,
engrwasimkhan,bosen bgt ptm ga ada gurunya,
erickavilvaz,"dinas pendidikan mengeluarkan surat edaran pemberhentian pembelajaran tatap muka (ptm) di sekolah dari tingkat paud, sd, dan smp hingga 22 februari 2022",
