Username,Content,Location,Created at
HAY0UNGS0NG,sebelum pembelajaran perlu cek kondisi,,2022-02-09 05:02:31+00:00
honeylkiii,aku tim pjj,,2022-02-09 05:02:02+00:00
yyahmde,harus taat prokes karena pembelajaran tatap muka,,2022-02-09 05:02:01+00:00
Cloudysmoody,pengen pembelajaran tatap muka,,2022-02-09 05:02:00+00:00
babymoontaeil54,gak sabar pembelajaran tatap muka terbatas,,2022-02-09 05:01:44+00:00
straunns,sedih pembelajaran tatap muka  diberhentikan ,,2022-02-09 05:01:29+00:00
jejeydisini_,pembelajaran tatap muka terserah deh ,,2022-02-09 05:01:26+00:00
melaiueoo,"seru ptm, ketemu temen",,2022-02-09 05:00:18+00:00
rebeccacityx,ptm pasti seru,,2022-02-09 05:00:10+00:00
kanzlerir,pembelajaran tatap muka dihentikan sementara,,2022-02-09 05:00:10+00:01
Akimwkwkwk,pertemuan secara tatap muka itu sangat asik,,2022-02-09 05:00:10+00:02
iib_idi,kata ayah mending ptm,,2022-02-09 05:00:10+00:03
Rzlamirza,pjj terlalu nyantai,,2022-02-09 05:00:10+00:04
syahherwin70,PTM karena lebih banyak interaksinya,,2022-02-09 05:00:10+00:05
Mentai__Salmon,capek ptm rabu,,2022-02-09 05:00:10+00:06
artemtoyib,mending pjj aja ,,2022-02-09 05:00:10+00:07
growler_,"karena covid lagi, saya sih menunggu kabar pembelajaran tatap muka dihentikan wkwk",,2022-02-09 05:00:10+00:08
clownerymum,ptm ngantuk banget,,2022-02-09 05:00:10+00:09
dhykaardiansyahhh,"TAKUT pembelajaran tatap muka,,,,,,, takut ada covid",,2022-02-09 05:00:10+00:10
_shizouka,sedih anjir sekolah kami terpaksa menghentikan aktivitas pembelajaran tatap muka,,2022-02-09 05:00:10+00:11
pollyinmyp0cket,angkat tangan yang niat ptm,,2022-02-09 05:02:31+00:00
queenavies,jujur hari ini aku mood ptm,,2022-02-09 05:02:31+00:01
myyngm,anjir takut ptm,,2022-02-09 05:02:31+00:02
BudakGarut__,tetap jaga protokol kesehatan walaupun ptm,"Garut, Indonesia",2022-01-01 13:27:05+00:00
ignoreprojahils, anak perlu belajar disiplin prokes selama sekolah ptm,,2022-01-01 13:20:17+00:00
multiplied3assi,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",Alaskan Made ~ Alaskan Grown,2022-01-01 13:19:12+00:00
