Username,Content,Location,Created at
Akimwkwkwk,pertemuan secara tatap muka itu sangat asik,,
iib_idi,kata ayah mending ptm,,
Rzlamirza,pjj terlalu nyantai,,
syahherwin70,"ptm, karena lebih banyak interaksinya",,
Mentai__Salmon,capek ptm rabu,,
artemtoyib,mending pjj aja ,,
growler_,"karena covid lagi, saya sih menunggu kabar batal pembelajaran tatap muka wkwk",,
clownerymum,ptm ngantuk banget,,
gelastehhhh,lah gimana anjir omicron tapi ptm,,
_shizouka,sedih anjir sekolah kami terpaksa menghentikan aktivitas pembelajaran tatap muka,,
