Username,Content,Created at
M4dchild,gua jadi benci ptm,2022-08-03 23:39:52+00:01
M4dchild,pjj rasanya bodoh tapi ptm rasanya cape,2022-08-03 23:39:52+00:02
ayreiseo,kenapa harus ptm sih,2022-08-03 23:39:52+00:03
fckmemoboyy,ptm terus YA ALLAH,2022-08-03 23:39:52+00:04
kissbumblee,YA ALLAH SAYA TIDAK MAU PERTEMUAN TATAP MUKA SAYA CAPE,2022-08-03 23:39:52+00:05
CNNIndonesia,full ptm agar pintar wkwk,2022-08-03 23:39:52+00:06
beomgyurinn,penularan covid di sekolah udah mengarah ke parah,2022-08-03 23:39:52+00:07
nmmsamoelcafe,woi cape bgt lah bsk ptm pulang jam sore,2022-08-03 23:39:52+00:08
lovingJayP4rk,penularan omicron merebak di indonesia,2022-08-03 23:39:52+00:09
biuluvboy,ayo tidur besok ptm,2022-08-03 23:39:52+00:10
Hamoudaraeesani,semangat terus ya kak! semoga selalu happy dan jangan benci ptm jangan lupa jaga kesehatan ya kak lagi musim omicron,2022-08-03 23:39:52+00:11
francetic4_yael,"jumlah positif covid-19 meningkat, ptm di stop",2022-08-03 23:39:52+00:12
hfxloustdy,ini juga bukan sekedar siapa yang mau ptm atau tidak. Ini soal covid ,2022-08-03 23:39:52+00:13
cristianvgga,tangerang raya putuskan stop ptm,2022-08-03 23:39:52+00:14
Imrankasuri11,,2022-08-03 23:39:52+00:15
ivan_quiroz23,,2022-08-03 23:39:52+00:16
brandondamid,,2022-08-03 23:39:52+00:17
imusaibkhan,,2022-08-03 23:39:52+00:18
Shamskakar27,,2022-08-03 23:39:52+00:19
Saimasa63489202,,2022-08-03 23:39:52+00:20
Granados114,,2022-08-03 23:39:52+00:21
anaftbananas,,2022-08-03 23:39:52+00:22
Tatian_2826,,2022-08-03 23:39:52+00:23
tsugiana,,2022-08-03 23:39:52+00:24
H00NS0L28,,2022-08-03 23:39:52+00:25
EvelynL27,,2022-08-03 23:39:52+00:26
camgoodvibescyp,,2022-08-03 23:39:52+00:27
anakmsebeth,,2022-08-03 23:39:52+00:28
Sashacantuu1,,2022-08-03 23:39:52+00:29
caramuelll,,2022-08-03 23:39:52+00:30
matchashaw,,2022-08-03 23:39:52+00:31
Melrbourne,,2022-08-03 23:39:52+00:32
uinwsfess,,2022-08-03 23:39:52+00:33
PatrioticKZ,,2022-08-03 23:39:52+00:34
kissbumblee,,2022-08-03 23:39:52+00:35
araflws,,2022-08-03 23:39:52+00:36
haechisan,,2022-08-03 23:39:52+00:37
haechisan,,2022-08-03 23:39:52+00:38
thewayinoo,,2022-08-03 23:39:52+00:39
eaudesemicologn,,2022-08-03 23:39:52+00:40
dizzy4sch,,2022-08-03 23:39:52+00:41
crofflepuf,,2022-08-03 23:39:52+00:42
astriniadwin,,2022-08-03 23:39:52+00:43
astriniadwin,,2022-08-03 23:39:52+00:44
pindiwal18,,2022-08-03 23:39:52+00:45
Nowhere_Girl,,2022-08-03 23:39:52+00:46
intinyabuatjbjb,,2022-08-03 23:39:52+00:47
eaudesemicologn,,2022-08-03 23:39:52+00:48
salimakbar35,,2022-08-03 23:39:52+00:49
BidikUtama,,2022-08-03 23:39:52+00:50
jawapos,,2022-08-03 23:39:52+00:51
wterkay,,2022-08-03 23:39:52+00:52
albedokapur,,2022-08-03 23:39:52+00:53
Sukabumizone,,2022-08-03 23:39:52+00:54
jawapos,,2022-08-03 23:39:52+00:55
iS2mnji,,2022-08-03 23:39:52+00:56
mgknr__,,2022-08-03 23:39:52+00:57
nevertiten,,2022-08-03 23:39:52+00:58
ayatoomuch,,2022-08-03 23:39:52+00:59
Chrs49937622,,2022-08-03 23:39:52+00:60
achiachie1,,2022-08-03 23:39:52+00:61
liauulia,,2022-08-03 23:39:52+00:62
uniyangverse,,2022-08-03 23:39:52+00:63
medcom_id,,2022-08-03 23:39:52+00:64
wldks_chill,,2022-08-03 23:39:52+00:65
lovingJayP4rk,,2022-08-03 23:39:52+00:66
laraiib_Reza,,2022-08-03 23:39:52+00:67
ssweetlyy,,2022-08-03 23:39:52+00:68
KalyampudiAppa1,,2022-08-03 23:39:52+00:69
scmels,,2022-08-03 23:39:52+00:70
yourkento,,2022-08-03 23:39:52+00:71
Notorious_Spy,,2022-08-03 23:39:52+00:72
scubbiejac,,2022-08-03 23:39:52+00:73
haibundacom,,2022-08-03 23:39:52+00:74
crawzrichies,,2022-08-03 23:39:52+00:75
