Username,Content,Created at
banjarbase,dibanjar dibolehi ptm kah maka kasus omicron lg naiknya wal,2022-01-07 08:14:34+00:00
Edhie_Baskoro,jumlah positif covid varian omicron mencapai ribu lebih hatihati pemerintah pusatdaerah mesti ambil langkah cepat tegas amp terukur utk putus rantai penyebaran ptm belajarmengajar mesti dievaluasi apalagi banyak anak yg juga terpapar,2022-01-07 08:11:48+00:00
kumparan,tedi  beberapa kali melihat percakapan di grup wa sekolah anaknya ada beberapa orang tua yang izin ke wali kelas karena anaknya sakit,2022-01-07 08:01:08+00:00
getradius_id,kebijakan baru terkait ptm menjadi persen terbatas di kota malang,2022-01-07 07:45:33+00:00
adm_getradius,kebijakan baru terkait ptm menjadi persen terbatas di kota malang,2022-01-07 07:45:20+00:00
akariaban,jabarjuara semoga cepet mereda lagi omicron tetap jaga prokes kawan tolong cepat atasi percovidan ini udah bahagia bisa ptm,2022-01-07 07:30:01+00:00
republikaonline,kenaikan kasus covid akibat varian omicron mesti menjadi perhatian bersama,2022-01-07 07:28:28+00:00
IsuBogor,penyebab omicron masuk indonesia disorot media asing ptm dituding jadi biang keroknya,2022-01-07 07:21:29+00:00
SusiEmilia2,ibadah mulai dibatasi lagi setelah nataru imlek selesai sementara bandara dibuka dan wna masuk ptm  ketika katanya omicron meningkat kotak amal direcoki memangnya pemerintah mau menutupi seluruh kebutuhan untuk mesjid dan jemaah nya kebijakan tanpa tanggungjawab  asbun,2022-01-07 07:09:58+00:00
suaramerdeka,kasus omicron meningkat yoyok sukawi minta pemerintah batasi ptm dan pariwisata,2022-01-07 07:02:59+00:00
GoRiauCom,lonjakan omicron diprediksi februari ptm masih akan digelar,2022-01-07 05:34:46+00:00
RBonafida,kasus omicron mengalami kenaikan gubernur banten stop ptm  tapi kenapa gubernur dki jakarta malah drama untuk keselamatan warga kok ragu ambil keputusan,2022-01-07 05:32:37+00:00
kumparan,penghentian sementara ptm itu sampai situasi di bali cukup kondusif,2022-01-07 05:29:05+00:00
zeeyachan,ya allah pengen kuliah di university of toronto faculty of medicine pake beasiswa fully funded  beasiswa unggulan  beasiswa dari agen ya allah pengen ptm ya allah semoga pas ramadhan omicron udah bisa ditangani di indonesia ya allah semoga pandemi segera berakhir aamiin,2022-01-07 05:07:03+00:00
kumparan,semua pihak harus lebih waspada terhadap penyebaran virus omicron yang semakin meluas pandemi belum usai kebijakan ptm persen perlu perlu dievaluasi kata muti,2022-01-07 05:05:05+00:00
hedy20lim,omicron tidak berbahaya ptm wajib ga pakai opsi pjj ada sekolah ud bikin konser ada sekolah ud fieldtrip mall dg pertunjukan menyambut pejabat eh tau udah  positif perhari semoga berkurang ya kasus,2022-01-07 05:03:21+00:00
Nallzai,dengan berfokus penanganan covid varian omicron ridwan kamil menyebutkan bahwa kemungkinan besar perubahan kebijakan akan terjadi di wilayah bodebek dan bandung raya termasuk keputusan ptm di sekolah,2022-01-07 05:02:11+00:00
kumparan,macammacam klaster penularan di bali ada yang banyak klaster sekolah kemudian ada klaster sepak bola itu cukup banyak memang sudah terjadi penularan lokal di sini kata cok ace,2022-01-07 04:13:07+00:00
RK_JabarJuara,ptm kembali diberhentikan karena lonjakan kasus covid di bogor semoga bisa kembali normal dan segera melakukan ptm kembali jangan lupa hindari kerumunan gunakan masker dan mencuci tangan,2022-01-07 04:01:21+00:00
bontang_post,diperhatikan yaa,2022-01-07 04:01:03+00:00
_rakyatmerdeka,dukung evaluasi ptm gus jazil pendidikan harus tetap jalan,2022-01-07 04:00:29+00:00
urban1063fm,back to online karena kasus covid varian omicron terus bertambah pemerintah kota bandung akhirnya memutuskan untuk mengurangi  dari pertemuan tatap muka ptm di sekolahsekolah menurut kamu gimana nih anak urban kamu lebih suka sekolah offline atau online,2022-01-07 03:55:23+00:00
kalderanews,jadi pusat covid omicron tangerang raya putuskan stop ptm,2022-01-07 03:35:37+00:00
batamtoday,mpr minta pemerintah hentikan total ptm cegah omicron,2022-01-07 03:27:53+00:00
urrrplanets,alaahhh ee mending pjj aja gausa ptm ptm ribetudah tau covid lagi naek ada omicron jga,2022-01-07 03:26:25+00:00
Nemo020221,akhirnya kluster omicron baru terjadi dmnw tanpa terdeteksi seperti saya dan isteri yg ketularan ponakan smp serumah yg msh ptm hingga hari ini pd hal dia msh bapil jadi pelaks ppkm level perlu sidakw ke sekolah yg ptm selain kantor mall warung  dll,2022-01-07 03:11:44+00:00
Boolixious,ha masih ptm sekolah  anakku sudah online sejak muncul omicron ,2022-01-07 03:10:56+00:00
KEZIAAM0UR,puluhan murid terpapar omicron ptm sman di kabupaten tangerang dihentikan pul,2022-01-07 03:10:28+00:00
insidpontianak,kasus omicron di jakarta naik kpai minta ptm dihentikan sementara pontianak  dki jakarta mengalami kenaikan angka penderita covid varian omicron akibatnya komisi perlindungan,2022-01-07 03:07:02+00:00
ban9anto,kalo mau mengurangi penularan dan infeksi ptm pjj ditutup sementara itu pun ngefeknya gak banyak xd tapi kalo mau dibikin jadi zero buat omicron itu sesuatu hil yang mustahal,2022-01-07 02:43:45+00:00
tvOneNews,ptm tetap digelar di kota probolinggo prokes diperketat antisipasi omicron,2022-01-07 02:04:02+00:00
catchmeupid,angka kasus omicron yang naik terus ptm yang galau mau lanjut apa engga sampe erdogan yang baru aja dinyatakan positif covid ini dia rangkuman soal pandemi seminggu terakhir,2022-01-07 01:59:29+00:00
medstudUI22,ngerjain mat sm analisis soalnya ptm nya  dan yang masuk sekolah dikit banget pada bolos semua have  nice day stay safe juga omicron parah bgt sih ini,2022-01-07 01:56:05+00:00
chantuull,kl kata sy sih mending stop dulu ptm mau terbatas atau  krn covid lg tinggi bgt apalagi ini omicron gampang nyebar dan byk yg gaada gejala  ga ke detect di antigen dikira enak ya uprak sm ujian sekolah online wkwkwk tp sy sih lebih mentingin kesehatan gmn dgn anda,2022-01-07 01:51:04+00:00
5885Mamok,fakta bhw covid varian omicron cepat menular penularannya jg makin masif sdg anak banyak yg belum vaksin mengapa ptm tetap dibuka bukankah anak sekolah tdk mudah utk disiplin prokes,2022-01-07 00:52:30+00:00
sabdaxkalam,meski tak ditegur presiden jokowi ini langkah taktis wagub emil dardak jalankan ptm di jatim,2022-01-07 00:51:18+00:00
detikcom,berikut ini panduan prokes dari kemendikbudristek saat ptm di dalam kelas cegah omicron bisa dengan cara ini,2022-01-07 00:33:41+00:00
kalderanews,jadi pusat covid omicron tangerang raya putuskan stop ptm  ,2022-01-07 00:28:21+00:00
kalderanews,jadi pusat covid omicron tangerang raya putuskan stop ptm ,2022-01-07 00:28:17+00:00
qhaerom,ptm atau pjj dimasa omicron,2022-01-07 00:22:11+00:00
orgilgamon,semangat btw kok boleh ptm sih soalnya rata kampus yg mau ptm aja jadi dibatalin gara omicron,2022-01-07 00:07:56+00:00
Mrshongli,sekolah gw ada yg kena omicron tetep disuruh ptm ini gmn maksudnya,2022-01-07 00:07:06+00:00
tjapoenglaut,yang di kantor yg isinya bapak bapak mbak mbak mas mas ibu ibu yang sudah dewasa  sebagian ada yang wfh anak sekolah yg masih kecil  remaja sebagian mash ptm seberapa hebat mengejar learning lost dibanding tingkat kecepatan penularan omicron,2022-01-06 23:48:37+00:00
DyaningR,ri anak sy sekarang bergejala omicron loh pak di samarinda sedang zona kuning masih melaksanakan ptm bagaimana dengan kami yang berkebatasan biaya mau test swab,2022-01-06 22:16:45+00:00
AstrianaNingrum,ppkm untuk menekan penyebaran covid varian omicron ppkm kembali diperpanjang ini aturan ptm terbatas di sekolah taat protokol kesehatan,2022-01-06 19:48:21+00:00
17_5_22, daerahku juga tinggi kasusnya bekasi bahkan sempet hampir  bergejala krn ada yg kena omicron mlh masuk skolah cuma pjj sehariimlek hari awalnya ttp ptm  stlh kejadian itu tp kayaknya byk yg protes dan banyak yg ga masuk krn sakit termasuk aku,2022-01-06 17:10:25+00:00
requisitoire,ptm disarankan berhenti total di jakarta duh omicron makin parah ya,2022-01-06 16:28:08+00:00
jaemssukluvv_,loh kok masih ptm kan omicron lagi naik,2022-01-06 16:04:33+00:00
masaryaduta,omicron menggila pemprov dki akhirnya batalkan ptm persen,2022-01-06 15:55:22+00:00
haibundacom,sekolah tatap muka atau ptm terpaksa dihentikan sementara di beberapa wilayah hal ini dilakukan demi mencegah penularan omicron yang merebak di indonesia,2022-01-06 15:29:20+00:00
fqairys,omicron bisa stop gaa gua pgn ptm anjir,2022-01-06 15:25:09+00:00
sungcchannie, soalnya disini ptm malah ada yg kena omicron,2022-01-06 15:24:18+00:00
m_sael,waktu varian delta bukan cuma orang pada panik tapi jaman itu hiburan benarbenar seperti hilang aplg di akhir blm ada rencana reopening fasilitas hiburan pd nunggu vaksin pada periode omicron paniknya orang msh agak ketahan sama konser musik ptm pameran,2022-01-06 15:14:24+00:00
renrencrush,ptm  alhamdulilah dom gue blm ada tanda omicron,2022-01-06 14:55:32+00:00
