Username,Content,Created at
xxxx,gua jadi benci bgt ptm dah,2022-08-03 23:39:52+00:00
xxxx,pjj rasanya bodoh tapi ptm rasanya cape,2022-08-03 23:39:52+00:01
xxxx,kenapa harus ptm sih,2022-08-03 23:39:52+00:02
xxxx,ptm terus YA ALLAH,2022-08-03 23:39:52+00:03
xxxx,YA ALLAH SAYA TIDAK MAU PERTEMUAN TATAP MUKA SAYA CAPE,2022-08-03 23:39:52+00:04
xxxx,full ptm agar pintar wkwk,2022-08-03 23:39:52+00:05
xxxx,penularan covid di sekolah udah mengarah ke parah,2022-08-03 23:39:52+00:06
xxxx,woi cape bgt lah bsk ptm pulang jam sore,2022-08-03 23:39:52+00:07
xxxx,penularan omicron merebak di indonesia,2022-08-03 23:39:52+00:08
xxxx,ayo tidur besok ptm,2022-08-03 23:39:52+00:09
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
