Username,Content,Created at
BudakGarut__,Masyarakat mengaku masih was was ketakutan ptm,2022-08-05 13:27:05+00:00
ignoreprojahils,ptm kena mental,2022-08-05 13:20:17+00:00
multiplied3assi,pemprov dki akhirnya batalkan ptm 100 persen,2022-08-05 13:19:12+00:00
xojolx,sekolah tatap muka atau ptm terpaksa dihentikan sementara di beberapa wilayah hal ini dilakukan demi mencegah penularan omicron yang merebak di indonesia,2022-08-05 13:17:18+00:00
ka3_16ka,,2022-08-05 13:15:23+00:00
mayesyii,,2022-08-05 13:13:15+00:00
naylaberkah,,2022-08-05 13:11:06+00:00
nabillaSN24,,2022-08-05 13:10:35+00:00
garin_bigwin01,,2022-08-05 13:08:09+00:00
5dona2,,2022-08-05 13:05:44+00:00
putra_bangsa81,,2022-08-05 13:03:47+00:00
Caca46027099,,2022-08-05 13:03:14+00:00
ani0942,,2022-08-05 13:01:52+00:00
citrabiq,,2022-08-05 13:00:50+00:00
Adireigo,,2022-08-05 13:00:38+00:00
eIectricx,,2022-08-05 13:00:04+00:00
0Cicaca,,2022-08-05 13:00:04+00:00
tinaklin,,2022-08-05 13:00:04+00:00
Akiakimbrew_102,,2022-08-05 13:00:03+00:00
DanangputraK,,2022-08-05 13:00:03+00:00
AdiAdihendra,,2022-08-05 13:00:03+00:00
brightxxxv,,2022-08-05 13:00:02+00:00
Azaldaf,,2022-08-05 13:00:02+00:00
HimmatTinnu,,2022-08-05 13:00:01+00:00
EmperorMerah,,2022-08-05 13:00:01+00:00
Xyeety1,,2022-08-05 13:00:01+00:00
Tri_nugraha_,,2022-08-05 13:00:00+00:00
DateMasamune29,,2022-08-05 13:00:00+00:00
BiruEmperor,,2022-08-05 13:00:00+00:00
KatakuraKojur,,2022-08-05 13:00:00+00:00
AlisaJung17,,2022-08-05 12:59:43+00:00
OxBigWin_777,,2022-08-05 12:57:21+00:00
bostoncrema,,2022-08-05 12:29:26+00:00
dazedchaeng,,2022-08-05 12:27:28+00:00
ARCTlCM0NK3YS,,2022-08-05 12:26:19+00:00
detikcom,,2022-08-05 12:06:23+00:00
ubsansfess,,2022-08-05 12:05:01+00:00
Bilalki29033498,,2022-08-05 11:50:36+00:00
kaedehayaa,,2022-08-05 11:49:19+00:00
anakmsebeth,,2022-08-05 11:18:39+00:00
20detik,,2022-08-05 11:05:10+00:00
detikedu,,2022-08-05 10:47:46+00:00
Epinephrineee,,2022-08-05 10:47:41+00:00
kaedehayaa,,2022-08-05 10:45:18+00:00
jawapos,,2022-08-05 10:29:44+00:00
junggwoni,,2022-08-05 10:26:45+00:00
papoiibear,,2022-08-05 09:44:28+00:00
NTX24,,2022-08-05 09:39:53+00:00
szszzszzs,,2022-08-05 09:24:51+00:00
sansjjong,,2022-08-05 09:19:49+00:00
HINDUTVADI108,,2022-08-05 09:12:01+00:00
hereissun,,2022-08-05 09:08:53+00:00
OxAugust_1st,,2022-08-05 09:06:44+00:00
ljndracs,,2022-08-05 09:04:30+00:00
Lyaxh_,,2022-08-05 09:03:18+00:00
jagapatidotcom,,2022-08-05 09:00:12+00:00
jagapatidotcom,,2022-08-05 09:00:12+00:00
Ranjhaaa87,,2022-08-05 08:57:26+00:00
tassyaapr,,2022-08-05 08:55:42+00:00
Chrs49937622,,2022-08-05 08:55:11+00:00
setengahlandak,,2022-08-05 08:46:47+00:00
angelcidios,,2022-08-05 08:36:45+00:00
kangandribdg,,2022-08-05 07:55:48+00:00
koortante,,2022-08-05 07:51:58+00:00
balerriatajjj,,2022-08-05 07:27:37+00:00
_yunisaputri,,2022-08-05 07:19:14+00:00
atesauce,,2022-08-05 07:05:47+00:00
TimeGarhi,,2022-08-05 07:03:36+00:00
angeljimenez09,,2022-08-05 07:01:16+00:00
TimeGarhi,,2022-08-05 06:58:59+00:00
dxsunshine_,,2022-08-05 06:38:08+00:00
ranichq,,2022-08-05 06:23:31+00:00
LalitoCrickoso,,2022-08-05 06:20:02+00:00
nazeriey_naz,,2022-08-05 06:12:43+00:00
idntimes,,2022-08-05 06:05:21+00:00
IDNTimesBanten,,2022-08-05 06:00:02+00:00
ianyangx2,,2022-08-05 05:50:48+00:00
edukasiborneo,,2022-08-05 05:47:48+00:00
melanieroaa,,2022-08-05 05:47:26+00:00
daldalkomhan,,2022-08-05 05:42:27+00:00
hopeikrv,,2022-08-05 04:35:48+00:00
SpsIPB,,2022-08-05 04:30:24+00:00
gwonfire,,2022-08-05 04:24:42+00:00
795jimin,,2022-08-05 04:23:27+00:00
yuktannn,,2022-08-05 04:22:27+00:00
efectsguinho,,2022-08-05 04:07:13+00:00
fjmejia100,,2022-08-05 04:00:42+00:00
vhopeangels_,,2022-08-05 03:48:29+00:00
Mashee0108,,2022-08-05 03:46:18+00:00
KelSukapura1,,2022-08-05 03:44:56+00:00
KelSukapura1,,2022-08-05 03:44:03+00:00
ly7cast,,2022-08-05 03:43:47+00:00
Black94989606,,2022-08-05 03:39:13+00:00
dinkespati,,2022-08-05 03:30:39+00:00
h0nderdProcent,,2022-08-05 03:18:46+00:00
Sonaya79085379,,2022-08-05 03:17:46+00:00
Sonaya79085379,,2022-08-05 03:12:05+00:00
InfoTimlo,,2022-08-05 03:00:47+00:00
timlovers,,2022-08-05 03:00:47+00:00
