Username,Content,Location,Created at
HAY0UNGS0NG,sebelum pembelajaran perlu cek kondisi,,2022-02-09 05:02:31+00:00
honeylkiii,aku tim pjj,,2022-02-09 05:02:02+00:00
yyahmde,harus taat prokes karena pembelajaran tatap muka,,2022-02-09 05:02:01+00:00
Cloudysmoody,pengen pembelajaran tatap muka,,2022-02-09 05:02:00+00:00
babymoontaeil54,gak sabar pembelajaran tatap muka terbatas,,2022-02-09 05:01:44+00:00
straunns,sedih pembelajaran tatap muka  diberhentikan ,,2022-02-09 05:01:29+00:00
jejeydisini_,pembelajaran tatap muka terserah deh ,,2022-02-09 05:01:26+00:00
melaiueoo,"seru ptm, ketemu temen",,2022-02-09 05:00:18+00:00
rebeccacityx,ptm pasti seru,,2022-02-09 05:00:10+00:00
kanzlerir,pembelajaran tatap muka dihentikan sementara,,2022-02-09 05:00:10+00:01
Akimwkwkwk,pertemuan secara tatap muka itu sangat asik,,2022-02-09 05:00:10+00:02
iib_idi,kata ayah mending ptm,,2022-02-09 05:00:10+00:03
Rzlamirza,pjj terlalu nyantai,,2022-02-09 05:00:10+00:04
syahherwin70,PTM karena lebih banyak interaksinya,,2022-02-09 05:00:10+00:05
Mentai__Salmon,capek ptm rabu,,2022-02-09 05:00:10+00:06
artemtoyib,mending pjj aja ,,2022-02-09 05:00:10+00:07
growler_,"karena covid lagi, saya sih menunggu kabar pembelajaran tatap muka dihentikan wkwk",,2022-02-09 05:00:10+00:08
clownerymum,ptm ngantuk banget,,2022-02-09 05:00:10+00:09
dhykaardiansyahhh,"TAKUT pembelajaran tatap muka,,,,,,, takut ada covid",,2022-02-09 05:00:10+00:10
_shizouka,sedih anjir sekolah kami terpaksa menghentikan aktivitas pembelajaran tatap muka,,2022-02-09 05:00:10+00:11
pollyinmyp0cket,angkat tangan yang niat ptm,,2022-02-09 05:02:31+00:00
queenavies,jujur hari ini aku mood ptm,,2022-02-09 05:02:31+00:01
myyngm,anjir takut ptm,,2022-02-09 05:02:31+00:02
BudakGarut__,tetap jaga protokol kesehatan walaupun ptm,"Garut, Indonesia",2022-01-01 13:27:05+00:00
ignoreprojahils, anak perlu belajar disiplin prokes selama sekolah ptm,,2022-01-01 13:20:17+00:00
multiplied3assi,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",Alaskan Made ~ Alaskan Grown,2022-01-01 13:19:12+00:00
xojolx,semoga sekolahnya ptm terus,"Kota Bandung, Jawa Barat",2022-01-01 13:17:18+00:00
ka3_16ka,selama ptm ini gue bener2 jarang banget belajarnya,,2022-01-01 13:15:23+00:00
mayesyii,kasus covid 19 melonjak pemerintah minta masyarakat jaga prokes ptm ,,2022-01-01 13:13:15+00:00
naylaberkah,ptm lagi ptm lagi,Batam,2022-01-01 13:11:06+00:00
nabillaSN24,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",,2022-01-01 13:10:35+00:00
garin_bigwin01,ptm lagi ptm lagi,"DKI Jakarta, Indonesia",2022-01-01 13:08:09+00:00
5dona2,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",,2022-01-01 13:05:44+00:00
sansjjong,ya allah pengen pembelajaran tatap muka,,
SpsIPB, anak perlu belajar disiplin prokes selama sekolah ptm,,
gwonfire,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",,
795jimin,semoga sekolahnya ptm terus,,
yuktannn,selama ptm ini gue bener2 jarang banget belajarnya,,
efectsguinho,kasus covid 19 melonjak pemerintah minta masyarakat jaga prokes ptm ,,
fjmejia100,ptm lagi ptm lagi,,
vhopeangels_,lebih seru ptm sih,,
Mashee0108,pembelajaran tatap muka pasti seru,,
KelSukapura1,diharapkan pemerintah evaluasi pembelajaran tatap muka,,
KelSukapura1,di sekolahku kalau ada anak yang kena covid yang pjj cuma satu kelas yang ada anak kena covidnya itu doang,,
angelcidios,kok malah ptm padahal muridnya banyak yang positif,,
kangandribdg,sekolah masih mengusahakan untuk tetep ptm,,
koortante,"cape depan laptop, pembelajaran tatap muka aja",,
balerriatajjj,"kangen sekolah, pengen pembelajaran tatap muka",,
_yunisaputri,lebih seru pembelajaran tatap muka sih,,
atesauce,diharapkan pemerintah evaluasi ptm,,
TimeGarhi,"belum ada yg covid, masih tetep ptm",,
angeljimenez09,tetap jaga protokol kesehatan walaupun ptm,,
TimeGarhi, anak perlu belajar disiplin prokes selama sekolah ptm,,
dxsunshine_,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",,
