Username,Content,Location,Created at
Akimwkwkwk,pertemuan secara tatap muka itu sangat asik,,
iib_idi,kata ayah mending ptm,,
Rzlamirza,pjj terlalu nyantai,,
syahherwin70,"ptm, karena lebih banyak interaksinya",,
Mentai__Salmon,capek ptm rabu,,
artemtoyib,mending pjj aja ,,
growler_,"karena covid lagi, saya sih menunggu kabar pembelajaran tatap muka dihentikan wkwk",,
clownerymum,ptm ngantuk banget,,
dhykaardiansyahhh,pemerintah di kota saya bertindak cepat menutup pembelajaran tatap muka,,
_shizouka,sedih anjir sekolah kami terpaksa menghentikan aktivitas pembelajaran tatap muka,,
