Username,Content,Created at
M4dchild,gua jadi benci ptm,2022-08-03 23:39:52+00:01
M4dchild,pjj rasanya bodoh tapi ptm rasanya cape,2022-08-03 23:39:52+00:02
ayreiseo,kenapa harus ptm sih,2022-08-03 23:39:52+00:03
fckmemoboyy,ptm terus YA ALLAH,2022-08-03 23:39:52+00:04
kissbumblee,YA ALLAH SAYA TIDAK MAU PERTEMUAN TATAP MUKA SAYA CAPE,2022-08-03 23:39:52+00:05
CNNIndonesia,full ptm agar pintar wkwk,2022-08-03 23:39:52+00:06
beomgyurinn,penularan covid di sekolah udah mengarah ke parah,2022-08-03 23:39:52+00:07
nmmsamoelcafe,woi cape bgt lah bsk ptm pulang jam sore,2022-08-03 23:39:52+00:08
lovingJayP4rk,penularan omicron merebak di indonesia,2022-08-03 23:39:52+00:09
biuluvboy,ayo tidur besok ptm,2022-08-03 23:39:52+00:10
Hamoudaraeesani,semangat terus ya kak. Semoga selalu happy dan jangan benci ptm wkwk,2022-08-03 23:39:52+00:11
Hamoudaraeesani,"jumlah positif covid-19 meningkat, ptm di stop",
francetic4_yael,ini juga bukan sekedar siapa yang mau ptm atau tidak. Ini soal covid ,
hfxloustdy,tangerang raya putuskan stop ptm,
,anak kelas pada ga terima ptm balik ke 50%,
,anak kelas pada ga terima pjj lagi,
,ptm udah expired woi,
,orang tua di sekolah kami mendukung ptm  50%,
,ptm dengan protokol kesehatan,
,sekolah yang tetap menggelar ptm di stop,
,"jika tidak berkenan ptm, bisa mengikuti pembelajaran jarak jauh",
,sekolah di makassar menghentikan sementara kegiatan pjj,
,"di tengah melonjaknya covid 19 saat ini, ptm dihentikan sementara",
,harap diberlakukan kembali kuliah online,
,jangan nekad deh. Ini covid lagi meningkat,
,pertemuan tatap muka emang anjer,
,belajar-mengajar di sekolah telah di mulai (ptm),
,skrg krn pandemi pertemuan ttp muka diganti,
,ptm ngantuk banget shshshshhhh,
,bosen bgt ptm ,
,"gresik masuk ppkm level 2, sekolah ptm dihentikan",
,gresik belum sosialisasi poin baru terkait ptm,
,disini ada yg ptm?,
,sekolah wajib libur bila ada siswa positif covid,
,gua nunggu ptm banget,
,STOP COVID!!!! Pengen sekolah ptm,
,kembali lah sekolah ptm,
,kangen ptm huhu,
,perlu banget diajarin disiplin prokes selama sekolah ptm,
,perlu banget diajarin disiplin prokes selama sekolah ptm,
,perlu banget diajarin disiplin prokes selama sekolah ptm,
,perlu banget diajarin disiplin prokes selama sekolah ptm,
,perlu banget diajarin disiplin prokes selama sekolah ptm,
,akhirnya Ya Allah bisa ptm lagi,
,warga jombang minta prokes ketat selama ptm,
,Alhamdulillah masih diizinkan ptm oleh sekolah Ya Allah,
,YA ALLAH SAYA CAPE PTM,
,woi pemerintah stop ptm,
,banyak yang ijin ptm juga karena covid naik,
,kebijakan yang tidak pasti soal ptm bikin cape,
,ptm dengan protokol kesehatan,
,sekolah yang tetap menggelar ptm di stop,
,"jika tidak berkenan ptm, bisa mengikuti pembelajaran jarak jauh",
,diberlakukan ptm dengan protokol kesehatan ketat,
,diberlakukan ptm dengan protokol kesehatan ketat,
,diberlakukan ptm dengan protokol kesehatan ketat,
,diberlakukan ptm dengan protokol kesehatan ketat,
,ptm yang diberlakukan selama tiga hari menjadi dua hari dalam sepekan,
,gibran pastikan ptm dimulai minggu depan,
,pjj sih soalnya dapet uang jajan ,
,pegawai lainnya positif covid karena mengikuti pembelajaran tatap muka,
,ini udh masuk 50 persen tapi aku gadibolehin ptm sama ayah aku,
,omicron di surabaya meningkat,
,kota blitar 100 persen ptm,
,ajak orang tua kamu nolak ptm nder,
,minggu keempat ini melaksanakan pembelajaran tatap muka,
,kasus covid omicron di indonesia???,
,orangtua murid sekolah di blitar tidak setuju pembelajaran tatap muka,
,di sekolahku serempak tidak mau ptm,
,iya aku udah seminggu pjj,
,ptm masih full,
,ptm full takut,
,takut banget ptm,
,kini lebih siap hadapi ptm,
,belum sebulan pjj udah capek,
,"ptm capek, pjj capek",
,"ternyata selain murid, orang tua dan guru terpapar covid. Ptm dihentikan",
,genjot vaksinasi booster dan hentikan ptm,
,genjot vaksinasi booster dan hentikan ptm,
,genjot vaksinasi booster dan hentikan ptm,
,semoga covid cepet turun lagi supaya bs ptm Ya Allah,
,pemerintah mengatakan pihaknya tidak bisa meneruskan rencana ptm karena peningkatan kasus covid,
,kasus covid cukup melonjak,
,kalo misal disekolah ku ada yg kena covid yaudah pjj lagi,
