Username,Content,Created at
HAY0UNGS0NG,sebelum pembelajaran perlu cek kondisi,2022-01-31 05:02:31+00:00
honeylkiii,aku tim ptm,2022-01-31 05:02:02+00:00
yyahmde,harus taat prokes karena pembelajaran tatap muka,2022-01-31 05:02:01+00:00
Cloudysmoody,pengen pembelajaran tatap muka,2022-01-31 05:02:00+00:00
babymoontaeil54,gak sabar pembelajaran tatap muka terbatas,2022-01-31 05:01:44+00:00
straunns,sedih pembelajaran tatap muka  diberhentikan ,2022-01-31 05:01:29+00:00
jejeydisini_,pembelajaran tatap muka terserah deh ,2022-01-31 05:01:26+00:00
melaiueoo,"seru ptm, ketemu temen",2022-01-31 05:00:18+00:00
rebeccacityx,ptm pasti seru,2022-01-31 05:00:10+00:00
kanzlerir,pembelajaran tatap muka dihentikan sementara,2022-01-31 05:00:10+00:01
Akimwkwkwk,pertemuan secara tatap muka itu sangat asik,2022-01-31 05:00:10+00:02
iib_idi,kata ayah mending ptm,2022-01-31 05:00:10+00:03
Rzlamirza,pjj terlalu nyantai,2022-01-31 05:00:10+00:04
syahherwin70,PTM karena lebih banyak interaksinya,2022-01-31 05:00:10+00:05
Mentai__Salmon,capek ptm rabu,2022-01-31 05:00:10+00:06
artemtoyib,mending pjj aja ,2022-01-31 05:00:10+00:07
growler_,"karena covid lagi, saya sih menunggu kabar pembelajaran tatap muka dihentikan wkwk",2022-01-31 05:00:10+00:08
clownerymum,ptm ngantuk banget,2022-01-31 05:00:10+00:09
dhykaardiansyahhh,"TAKUT pembelajaran tatap muka,,,,,,, takut ada covid",2022-01-31 05:00:10+00:10
_shizouka,sedih anjir sekolah kami terpaksa menghentikan aktivitas pembelajaran tatap muka,2022-01-31 05:00:10+00:11
pollyinmyp0cket,angkat tangan yang niat ptm,2022-01-31 05:02:31+00:00
queenavies,jujur hari ini aku mood ptm,2022-01-31 05:02:31+00:01
myyngm,anjir takut ptm,2022-01-31 05:02:31+00:02
BudakGarut__,tetap jaga protokol kesehatan walaupun ptm,2022-01-01 13:27:05+00:00
ignoreprojahils, anak perlu belajar disiplin prokes selama sekolah ptm,2022-01-01 13:20:17+00:00
multiplied3assi,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",2022-01-01 13:19:12+00:00
xojolx,semoga sekolahnya ptm terus,2022-01-01 13:17:18+00:00
ka3_16ka,selama ptm ini gue bener2 jarang banget belajarnya,2022-01-01 13:15:23+00:00
mayesyii,kasus covid 19 melonjak pemerintah minta masyarakat jaga prokes ptm ,2022-01-01 13:13:15+00:00
naylaberkah,ptm lagi ptm lagi,2022-01-01 13:11:06+00:00
nabillaSN24,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",2022-01-01 13:10:35+00:00
garin_bigwin01,ptm lagi ptm lagi,2022-01-01 13:08:09+00:00
5dona2,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",2022-01-01 13:05:44+00:00
sansjjong,ya allah pengen pembelajaran tatap muka,2022-01-01 13:05:44+00:01
SpsIPB, anak perlu belajar disiplin prokes selama sekolah ptm,2022-01-01 13:05:44+00:02
gwonfire,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",2022-01-01 13:05:44+00:03
795jimin,semoga sekolahnya ptm terus,2022-01-01 13:05:44+00:04
yuktannn,selama ptm ini gue bener2 jarang banget belajarnya,2022-01-01 13:05:44+00:05
efectsguinho,kasus covid 19 melonjak pemerintah minta masyarakat jaga prokes ptm ,2022-01-01 13:05:44+00:06
fjmejia100,ptm lagi ptm lagi,2022-01-01 13:05:44+00:07
vhopeangels_,lebih seru ptm sih,2022-01-01 13:05:44+00:08
Mashee0108,pembelajaran tatap muka pasti seru,2022-01-01 13:05:44+00:09
KelSukapura1,diharapkan pemerintah evaluasi pembelajaran tatap muka,2022-01-01 13:05:44+00:10
KelSukapura1,di sekolahku kalau ada anak yang kena covid yang pjj cuma satu kelas yang ada anak kena covidnya itu doang,2022-01-01 13:05:44+00:11
angelcidios,kok malah ptm padahal muridnya banyak yang positif,2022-01-01 13:05:44+00:12
kangandribdg,sekolah masih mengusahakan untuk tetep ptm,2022-01-01 13:05:44+00:13
koortante,"cape depan laptop, pembelajaran tatap muka aja",2022-01-01 13:05:44+00:14
balerriatajjj,"kangen sekolah, pengen pembelajaran tatap muka",2022-01-01 13:05:44+00:15
_yunisaputri,lebih seru pembelajaran tatap muka sih,2022-01-01 13:05:44+00:16
atesauce,diharapkan pemerintah evaluasi ptm,2022-01-01 13:05:44+00:17
TimeGarhi,"belum ada yg covid, masih tetep ptm",2022-01-01 13:05:44+00:18
angeljimenez09,tetap jaga protokol kesehatan walaupun ptm,2022-01-01 13:05:44+00:19
TimeGarhi, anak perlu belajar disiplin prokes selama sekolah ptm,2022-01-01 13:05:44+00:20
dxsunshine_,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",2022-01-01 13:05:44+00:21
IforJolie,semoga sekolahnya ptm terus,2022-01-01 13:05:44+00:22
kayraaaazz,selama ptm ini gue bener2 jarang banget belajarnya,2022-01-01 13:05:44+00:23
renato_ptm,kasus covid 19 melonjak pemerintah minta masyarakat jaga prokes ptm ,2022-01-01 13:05:44+00:24
Manuel37706347,ptm lagi ptm lagi,2022-01-01 13:05:44+00:25
aisgurimumiruku,takut pembelajaran tatap muka,2022-01-01 13:05:44+00:26
jenspzt,pembelajaran tatap muka pasti seru,2022-01-01 13:05:44+00:27
serotonITZY,tetap jaga protokol kesehatan walaupun ptm,2022-01-01 13:05:44+00:28
gwenoisy,sumpah takut banget ptm anjir,2022-01-01 13:05:44+00:29
nexusdeux,"besok ptm gimana, takut",2022-01-01 13:05:44+00:30
iS2mnji,"takut banget PTM, banyak yang covid",2022-01-01 13:05:44+00:31
urmyyohan,gak sabar pembelajaran tatap muka terbatas,2022-01-01 13:05:44+00:32
KangSirmadji,sedih pembelajaran tatap muka  diberhentikan ,2022-01-01 13:05:44+00:33
voidotid,pembelajaran tatap muka terserah deh ,2022-01-01 13:05:44+00:34
nadaliciasihna,"seru ptm, ketemu temen",2022-01-01 13:05:44+00:35
jawapos,ptm pasti seru,2022-01-01 13:05:44+00:36
Chrs49937622,pembelajaran tatap muka dihentikan sementara,2022-01-01 13:05:44+00:37
aleaaiueol,pertemuan secara tatap muka itu sangat asik,2022-01-01 13:05:44+00:38
antoniohamsun,kata ayah mending ptm,2022-01-01 13:05:44+00:39
rekha35609163,pjj terlalu nyantai,2022-01-01 13:05:44+00:40
kinnx__,PTM karena lebih banyak interaksinya,2022-01-01 13:05:44+00:41
kunlaluv,capek ptm rabu,2022-01-01 13:05:44+00:42
KimBoisIlakes,mending pjj aja ,2022-01-01 13:05:44+00:43
arcticigaretts,"karena covid lagi, saya sih menunggu kabar pembelajaran tatap muka dihentikan wkwk",2022-01-01 13:05:44+00:44
Aku_MohArwani,ptm ngantuk banget,2022-01-01 13:05:44+00:45
henyper,"TAKUT pembelajaran tatap muka,,,,,,, takut ada covid",2022-01-01 13:05:44+00:46
snflwrly_,sedih anjir sekolah kami terpaksa menghentikan aktivitas pembelajaran tatap muka,2022-01-01 13:05:44+00:47
kissbumblee,angkat tangan yang niat ptm,2022-01-01 13:05:44+00:48
aidalanuza71,jujur hari ini aku mood ptm,2022-01-01 13:05:44+00:49
OxBigWin_777,anjir takut ptm,2022-01-01 13:05:44+00:50
lvskenai,tetap jaga protokol kesehatan walaupun ptm,2022-01-01 13:05:44+00:51
radarjogja, anak perlu belajar disiplin prokes selama sekolah ptm,2022-01-01 13:05:44+00:52
CTAEQXL,"kasus covid19 melonjak, masyarakat mengurangi aktivitas keramaian proses ptm",2022-01-01 13:05:44+00:53
Ruqijan,pembelajaran tatap muka pasti seru,2022-01-01 13:05:44+00:54
BabyMcNugget,diharapkan pemerintah evaluasi pembelajaran tatap muka,2022-01-01 13:05:44+00:55
stardnstheart,di sekolahku kalau ada anak yang kena covid yang pjj cuma satu kelas yang ada anak kena covidnya itu doang,2022-01-01 13:05:44+00:56
SOLOPOSFM,kok malah ptm padahal muridnya banyak yang positif,2022-01-01 13:05:44+00:57
Isti52863208,sekolah masih mengusahakan untuk tetep ptm,2022-01-01 13:05:44+00:58
gupikhaobb,"cape depan laptop, pembelajaran tatap muka aja",2022-01-01 13:05:44+00:59
abrahamfirdaus,"kangen sekolah, pengen pembelajaran tatap muka",2022-01-01 13:05:44+00:60
nctdoyouung,lebih seru pembelajaran tatap muka sih,2022-01-01 13:05:44+00:61
Delxzz_,diharapkan pemerintah evaluasi ptm,2022-01-01 13:05:44+00:62
SupriaSupriadi,"belum ada yg covid, masih tetep ptm",2022-01-01 13:05:44+00:63
kissbumblee,tetap jaga protokol kesehatan walaupun ptm,2022-01-01 13:05:44+00:64
yoonginistagay,anak perlu belajar disiplin prokes selama sekolah ptm,2022-01-01 13:05:44+00:65
camima,anak perlu belajar disiplin prokes selama sekolah ptm,2022-01-01 13:05:44+00:66
