,Username,Content,Location,Created at,Month
1,BudakGarut__,@ritafauzh yah ngalah  pdhl udah dukung ketua ptm :(,"Garut, Indonesia",2022-01-01 13:27:05+00:00,
2,ignoreprojahils,@thebrown786 kaam to tlp ka wahi hai lekin alhamdulillah abhi ye gher gherao wala keeda nikle gya tha bjp spokesperson k gustakhana bayan pr aur ye jo batein tum twitter wali ker rahe ye ptm wale bolte hai aur han overall view leadership aur majority k bayan pr banta hai na k few individuals,,2022-01-01 13:20:17+00:00,
3,multiplied3assi,"kasus covid19 melonjak, puan maharani minta masyarakat untuk mengurangi aktivitas keramaian dan perketat proses ptm.  puan maharani 2024",Alaskan Made ~ Alaskan Grown,2022-01-01 13:19:12+00:00,
4,xojolx,@ritafauzh saling menghargai dan berterima kasih juga.  gak sulit kok untuk kasih testi. gak perlu bikin puisi segala 👌🏻 ya kan ketum ptm? 😁,"Kota Bandung, Jawa Barat",2022-01-01 13:17:18+00:00,
5,ka3_16ka,"selama ptm ini gue bener2 jarang banget buka sosmed, kecuali ig ama tiktok, ig itu ya gue buka cuman gara2 mau tau info tentang kelas lain ngapain, dah gitu doang, terus kalo tiktok ya kalo lagi gabut aja",,2022-01-01 13:15:23+00:00,
6,mayesyii,kasus covid 19 melonjak puan minta masyarakat kurangi aktivitas keramaian dan diperketat prokes ptm  puan maharani 2024,,2022-01-01 13:13:15+00:00,
7,naylaberkah,@ritafauzh gimana rasanya kepick sama ketum ptm...,Batam,2022-01-01 13:11:06+00:00,
8,nabillaSN24,"kasus covid19 melonjak, puan maharani minta masyarakat untuk mengurangi aktivitas keramaian dan perketat proses ptm.  puan maharani 2024",,2022-01-01 13:10:35+00:00,
9,garin_bigwin01,@ritafauzh divisi baliho ptm hadir 😁,"DKI Jakarta, Indonesia",2022-01-01 13:08:09+00:00,
10,5dona2,"kasus covid-19 melonjak, puan minta kurangi aktivitas keramaian dan perketat prokes ptm  puan maharani 2024",,2022-01-01 13:05:44+00:00,
11,putra_bangsa81,@ritafauzh tausiah ketua umum ptm,,2022-01-01 13:03:47+00:00,
12,Caca46027099,kasus covid-19 melonjak puan maharani kurangi aktivitas keramaian dari ketat proses ptm puan maharani 2024,,2022-01-01 13:03:14+00:00,
13,ani0942,"kasus covid-19 melonjak, puan minta kurangi aktivitas keramaian dan perketat prokes ptm  puan maharani 2024",,2022-01-01 13:01:52+00:00,
14,citrabiq,"kasus covid-19 melonjak, puan minta kurangi aktivitas keramaian dan perketat prokes ptm  puan maharani 2024",,2022-01-01 13:00:50+00:00,
15,Adireigo,@ritafauzh aku gimana mau testi...wong blm pernah keciduk sama ibu ketum ptm 😅,,2022-01-01 13:00:38+00:00,
16,eIectricx,puan maharani 2024 mengingatksn kepada masyarakat aktivitas keramaian dan perketat prokes ptm,,2022-01-01 13:00:04+00:00,
17,0Cicaca,"kasus covid-19 melonjak, puan minta kurangi aktivitas keramaian dan perketat prokes ptm puan maharani 2024",,2022-01-01 13:00:04+00:00,
18,tinaklin,keren nih bu puan.. bu puan minta kurangi aktivitas keramaian dan perketat prokes ptm puan maharani 2024,,2022-01-01 13:00:04+00:00,
19,Akiakimbrew_102,kasus covid melonjak puan minta kurangi aktivitas keramaian dan perketat proses ptm. puan maharani 2024,,2022-01-01 13:00:03+00:00,
20,DanangputraK,perketat prokes ptm guna untuk mengantisipasi kasus covid-19 yang melonjak   puan maharani 2024,,2022-01-01 13:00:03+00:00,
21,AdiAdihendra,diberlakukannya perketat prokes ptm guna untuk mengantisipasi kasus covid-19 yang melonjak   puan maharani 2024,,2022-01-01 13:00:03+00:00,
22,brightxxxv,kasus covid-19 melonjak puan minta kurangi aktivitas keramaian dan perketat proses ptm  puan maharani 2024,,2022-01-01 13:00:02+00:00,
23,Azaldaf,"saat kasus covid-19 naik, puan meminta untuk kurangi aktivitas keramaian dan perketat prokes ptm puan maharani 2024",,2022-01-01 13:00:02+00:00,
24,HimmatTinnu,ketua dpr-ri pinta untuk kurangi aktivitas keramaian dan perketat prokes ptm   puan maharani 2024,,2022-01-01 13:00:01+00:00,
25,EmperorMerah,perketat prokes ptm untuk mengantisipasi lonjakan kasus covid-19   puan maharani 2024,,2022-01-01 13:00:01+00:00,
26,Xyeety1,"kasus covid 19 melonjak, puan minta kurangi aktivitas keramaian dan perketat prokes ptm.  puan maharani 2024",,2022-01-01 13:00:01+00:00,
27,Tri_nugraha_,perketat prokes ptm untuk antisipasi lonjakan kasus virus covid-19   puan maharani 2024,,2022-01-01 13:00:00+00:00,
28,DateMasamune29,perketat prokes ptm untuk menanggulangi melonjaknya kasus covid-19 di lingkungan sekolah  puan maharani 2024,,2022-01-01 13:00:00+00:00,
29,BiruEmperor,melonjak nya kasus covid-19 puan maharani meminta untuk kurangi aktivitas keramaian dan perketas prokes ptm   puan maharani 2024,,2022-01-01 13:00:00+00:00,
30,KatakuraKojur,kasus covid-19 kian melonjak di sekolah puan maharani meminta pemerintah pusat untuk kurangi aktivitas keramaian dan perketas prokes ptm  puan maharani 2024,,2022-01-01 13:00:00+00:00,
31,AlisaJung17,@ritafauzh kalau aku dapat traktiran ya jelas ku buatkan testi dengan bangganya karena dapet traktiran dari ketum ptm yang abegeh manjalita tiada duanya ini 🤭,Indonesia,2022-01-01 12:59:43+00:00,
32,OxBigWin_777,@ritafauzh siyappp... yok selalu kuat dan kokoh.. bagai ptm yang menjulang tegak.. 🤟💪💪,Rasa Syukur,2022-01-01 12:57:21+00:00,
33,bostoncrema,kheeeee ptm :(((( ☹️☹️☹️☹️☹️,"Lima, Perú",2022-01-01 12:29:26+00:00,
34,dazedchaeng,e.. ticketing bets juga pas ptm. selasa.,210125,2022-01-01 12:27:28+00:00,
35,ARCTlCM0NK3YS,"@aisgurimumiruku oalah, semangat ptm nya saka ✊🏻✊🏻",she/they.,2022-01-01 12:26:19+00:00,
36,detikcom,"kemendikbud ristek menerbitkan se no. 7 tahun 2022 mengenai diskresi pelaksanaan keputusan bersama 4 menteri tentang panduan penyelenggaraan pembelajaran di masa pandemi. yuk, simak penjelasan dr reisa broto asmoro terkait aturan terbaru pembelajaran tatap muka (ptm).","Jakarta, Indonesia",2022-01-01 12:06:23+00:00,
37,ubsansfess,"braw! angkatan 21 fix ptm ngga yaa? belum ada info resmi dari fakultasku sih tapi sebentar lagi udah kuliah,  berarti tetep ke malang aja nih?","Malang, Jawa Timur",2022-01-01 12:05:01+00:00,
38,Bilalki29033498,@noorullah_ptm punjab to kabul o kandhar tk ha ..tum us pr qabz ho ..ye kabul o kandhar tk hamara wasaihil ha ..,,2022-01-01 11:50:36+00:00,
39,kaedehayaa,"@askrlfess yg paling enak tuh mall ciputra jakbar, krna dr lantai bawah bisa keliatan outlet"" smpe ke lantai 4 atas. krna udh sering kesana udh hafal jg pintu masuk-keluarnya. bru ptm kesini aja ga bingung bgt krna segampang itu nginget pintu masuk-keluar",heaven,2022-01-01 11:49:19+00:00,
40,anakmsebeth,aduhhhwhshehw kelas 8 9 seru bgt kyknya kls 7 jg seru kalo ptm,,2022-01-01 11:18:39+00:00,
41,20detik,simak! ini aturan ptm terbaru berdasarkan diskresi skb 4 menteri,JKT-INA,2022-01-01 11:05:10+00:00,
42,detikedu,simak! ini aturan ptm terbaru berdasarkan diskresi skb 4 menteri,,2022-01-01 10:47:46+00:00,
43,Epinephrineee,"@fahmidahyousfi mqm,ppp,anp ptm juif,tlp,isi,umme hareem sabko pti kay khilaf active kar diya gaya hai :)","San Diego, CA",2022-01-01 10:47:41+00:00,
44,kaedehayaa,@paimonfess ei soalnya bucin ptm kali sama mommy ei,heaven,2022-01-01 10:45:18+00:00,
45,jawapos,pemkot surabaya buka opsi hentikan ptm,Jakarta,2022-01-01 10:29:44+00:00,
