Username,Content,Created at
hintguy,"kelas yg muridnya kena covid pjj, sedangkan kelas yg muridnya belum ada yg kenak covid masih tetep ptm... kenapa gk di sama ratain aja si??",2022-08-01 23:57:57+00:00
hereissun,belum tau covid atau bukan tapi lgsg disuruh pjj,2022-08-01 23:57:57+00:01
jagapatidotcom,mulai ngerasa ptm 50% adalah takut,2022-08-01 23:30:00+00:00
jagapatidotcom,saat ini ptm dibatasi jadi 50% sampai seluruh siswa sembuh,2022-08-01 23:22:23+00:00
Ranjhaaa87,"sekolah, kembali lagi ke ptm",
tassyaapr,"gak setuju ptm, angka covid naik",
Chrs49937622,"angka covid naik, gak setuju ptm",
setengahlandak,ptm 100% nangis aja gua,
angelcidios,takut ptm,
OxAugust,"sekolahku demam 2 orang, covid…",
ljndracs,gua udah ptm 100% lagi padahal daerah sekolahan banyak yg kontak erat sama yg kena omicron,
Lyaxh_,"omicron naik, yang salah siapa? sekolah, kembali lagi ke ptm",
