Kategori,Label,Username,Content,Location,Created at
0,Netral,empskye,"akun menfess sekolah orang isinya uwu, nyemangatin temen. menfess sekolah gue ngekritik ptm 100% padahal banyak yang sakit sampe akun menfessnya ilang",,2022-02-09 05:02:31+00:00
1,Positif,nurulolivee,"ptm 100 persen di cianjur dihentikan untuk sementara, ketua fpkbm cianjur angkat bicara #ptm #cianjur @innalarcom @cianjuronline @ici_cianjur @berita_cianjur",,2022-02-09 05:02:02+00:00
0,Netral,renrencrush,@hyuckieyowok_ iya.. ternyata ptm bikin stress juga,,2022-02-09 05:02:01+00:00
0,Netral,summerwine_hc,"""guys karena kita ga dikasih gaji 2 bulan, besok minta biskuit waktu ptm ya.. lumayan bisa makan"" ptm asik wkwkwkkwkwkwkwk tolong",,2022-02-09 05:02:00+00:00
0,Netral,dictionarins,yg udh kuliah skrg ptm atau pjj lagi???,,2022-02-09 05:01:44+00:00
-1,Negatif,redlyose,"@schfess hmmm gmn ya bingung gw tapi lebih suka ke ptm cuma ptm tugas kelompok ga ngotak anj- aksgayqbwf, tiap hari ada aja   kalo pjj tuh susahnya ga ada temen+susah ngerti materi",,2022-02-09 05:01:29+00:00
1,Positif,seven_floor,"@kompascom belum tau aja di jakarta juga sama, 2 anak saya di sekolah berbeda sdh konfirmasi ada  covid setelah dilakukan pcr di sekolah makanya di ganti pjj ... tapi masih ada sekolah yg ptm ...",,2022-02-09 05:01:26+00:00
1,Positif,elhajeyn,"@ravennayu enakan ptm. cape, tapi tugas kelar di sekolah",,2022-02-09 05:00:18+00:00
1,Positif,kopibobamental,enjoy ptm jadi kadang kelupaan cara menikmati pjj (tapi pen pjj),,2022-02-09 05:00:10+00:00
-1,Negatif,jaeshxx_,males ptm banyak tugas,,2022-02-09 04:59:56+00:00
1,Positif,1429yz,i wish senen ptm,,2022-02-09 04:58:57+00:00
1,Positif,livyxoo,siapa yg sekarang ptm?,,2022-02-09 04:58:41+00:00
1,Positif,0709Kodim,"guna mendukung pelaksanaan ptm pada lingkungan sekolah dasar, kodim 0709/kebumen terus menggelar serbuan vaksinasi bagi anak usia 6-11 tahun dengan mendatangi sekolah-sekolah yang ada di wilayah kab. kebumen. salah satunya yang digelar di sdn trikarso 1 dan 2 kec. sruweng.","Panjer,Kebumen",2022-02-09 04:58:37+00:00
1,Positif,jisungcow,"doain semoga senen ptm, stres dirumah",,2022-02-09 04:58:16+00:00
0,Netral,convomfs,🤍 semenjak ptm galery sender penuh dengan vidio/foto random temen sender yg suka foto foto gajelas 😭,,2022-02-09 04:58:01+00:00
-1,Negatif,HAY0UNGS0NG,"ptm, soalnya pjj malah ngebabu",,2022-02-09 04:57:58+00:00
-1,Negatif,honeylkiii,"wes bacut mager sg meh ptm njeng, wes lali kelas e manggon ngendi:""",,2022-02-09 04:57:39+00:00
1,Positif,yyahmde,"suka banget kalau ngajar kelas yang ini.  mau ptm atau pjj, antusias belajar dan keseruannya mereka selalu bagus","Bogor, Jawa Barat",2022-02-09 04:57:18+00:00
0,Netral,Cloudysmoody,"sekolah gw pjj lagi gk jelas bngt anjrit, mending pjj in aja sekalian sampe akhir februari. kasus covid lagi naik pake ptm 50% akhirnya ada yang positif tadi🫂",,2022-02-09 04:56:38+00:00
0,Netral,babymoontaeil54,"loh kok gitu, bukannya kalau ptm gk boleh bawa hp selain ada jadwal tugas osis?",,2022-02-09 04:56:20+00:00
1,Positif,straunns,"@schfess 50:50 ptm karena ptm bisa berinteraksi lgsg sama teman/becanda, jadi ngerasa ga sendiri(maklum anak tunggal), tapi kelemahannya banyak tugas (esp tugas kelompok) dan waktu udah cape buat di sekolah  pjj enak aja belajarnya, tenang, banyak tugas ttp jalan, krn pw di rumah",,2022-02-09 04:56:19+00:00
1,Positif,jejeydisini_,"@schfess ptm sih, tapi pengen di sesi lagi:)",,2022-02-09 04:56:13+00:00
0,Netral,sraigec,kalo ptm nyoba ah,,2022-02-09 04:55:55+00:00
0,Netral,UGM_FESS,ugm_fess skrg ada yg udah bauran belom ptm di kampus?? fak mana ajaa ya,,2022-02-09 04:55:31+00:00
0,Netral,melaiueoo,@runnawaywithmee oalah balik ptm 50 persen??,,2022-02-09 04:55:06+00:00
1,Positif,rebeccacityx,tinggal menunggu hari malang ptm lagi,Malang - Indonesia,2022-02-09 04:54:58+00:00
0,Netral,tarasihh,kalian masih ptm atau udah daring lagii????,,2022-02-09 04:54:45+00:00
-1,Negatif,smjaezyy,@heedzeung iya karna ptm bnyk tgs presentasi jdi ga bisa main twitter,,2022-02-09 04:54:34+00:00
1,Positif,tvOneNews,"siswa terpapar covid-19, sma man 1 medan berhenti ptm",,2022-02-09 04:54:33+00:00
1,Positif,shlnemoonlight,@schfess ptm karena kalo ptm susahnya kerjain soal bareng bareng jd bisa saling bantu sampe ketemu. kalo pjj cuma bisa menganga😀,,2022-02-09 04:54:20+00:00
0,Netral,nanaziiee,"@starfess gak enak bangett loh pdhl njun minus😭👎w gara2 daring 2 thn jadi keseringan liat hp,pas ptm ga kliatan papan tulis mo nangiss😭😭😭",,2022-02-09 04:54:00+00:00
1,Positif,michirunyaa_,minggu depan ptm 100% lagi onegai,,2022-02-09 04:53:25+00:00
